level,I0,h=-9,h=-8,h=-7,h=-6,h=-5,h=-4,h=-3,h=-2,h=-1,h=0,h=1,h=2,h=3,h=4,h=5,h=6,h=7,h=8,h=9,old_level
0,0.1,9296,11009,12964,15170,17625,20318,23222,26300,29502,32768,36033,39235,42313,45217,47910,50365,52571,54526,56239,0
1,0.193650794,1948,2829,4084,5844,8260,11482,15618,20675,26500,32768,39035,44860,49917,54053,57275,59691,61451,62706,63587,1
2,0.287301587,370,654,1153,2021,3506,5980,9921,15770,23604,32768,41931,49765,55614,59555,62029,63514,64382,64881,65165,2
3,0.380952381,69,147,315,671,1421,2970,6050,11724,20855,32768,44680,53811,59485,62565,64114,64864,65220,65388,65466,3
4,0.500002951,8,22,60,162,439,1179,3108,7812,17625,32768,47910,57723,62427,64356,65096,65373,65475,65513,65527,4
5,0.568253968,2,7,23,72,222,688,2097,6120,15923,32768,49612,59415,63438,64847,65313,65463,65512,65528,65533,5
6,0.661904762,0,2,6,23,87,327,1212,4334,13774,32768,51761,61201,64323,65208,65448,65512,65529,65533,65535,6
7,0.783338374,0,0,1,5,26,124,591,2736,11317,32768,54218,62799,64944,65411,65509,65530,65534,65535,65535,7
8,0.849206349,0,0,0,2,13,73,399,2123,10136,32768,55399,63412,65136,65462,65522,65533,65535,65535,65535,8
9,0.942857143,0,0,0,1,5,35,228,1475,8633,32768,56902,64060,65307,65500,65530,65534,65535,65535,65535,9
10,1.036507937,0,0,0,0,2,16,130,1021,7323,32768,58212,64514,65405,65519,65533,65535,65535,65535,65535,10
11,1.223809524,0,0,0,0,0,4,42,487,5217,32768,60318,65048,65493,65531,65535,65535,65535,65535,65535,13
12,1.411111111,0,0,0,0,0,1,14,231,3679,32768,61856,65304,65521,65534,65535,65535,65535,65535,65535,16
13,1.692063492,0,0,0,0,0,0,3,75,2149,32768,63386,65460,65532,65535,65535,65535,65535,65535,65535,20
14,1.973015873,0,0,0,0,0,0,0,24,1243,32768,64292,65511,65535,65535,65535,65535,65535,65535,65535,24
15,2.16031746,0,0,0,0,0,0,0,12,860,32768,64675,65523,65535,65535,65535,65535,65535,65535,65535,26
16,2.253968254,0,0,0,0,0,0,0,8,714,32768,64821,65527,65535,65535,65535,65535,65535,65535,65535,28
17,2.441269841,0,0,0,0,0,0,0,4,493,32768,65042,65531,65535,65535,65535,65535,65535,65535,65535,30
18,2.534920635,0,0,0,0,0,0,0,3,409,32768,65126,65532,65535,65535,65535,65535,65535,65535,65535,32
19,2.815873016,0,0,0,0,0,0,0,1,234,32768,65301,65534,65535,65535,65535,65535,65535,65535,65535,36
20,3.096825397,0,0,0,0,0,0,0,0,134,32768,65401,65535,65535,65535,65535,65535,65535,65535,65535,40
21,3.377777778,0,0,0,0,0,0,0,0,76,32768,65459,65535,65535,65535,65535,65535,65535,65535,65535,44
22,3.565079365,0,0,0,0,0,0,0,0,52,32768,65483,65535,65535,65535,65535,65535,65535,65535,65535,46
23,3.752380952,0,0,0,0,0,0,0,0,36,32768,65499,65535,65535,65535,65535,65535,65535,65535,65535,48
24,3.897045343,0,0,0,0,0,0,0,0,27,32768,65508,65535,65535,65535,65535,65535,65535,65535,65535,50
25,4.033333333,0,0,0,0,0,0,0,0,21,32768,65514,65535,65535,65535,65535,65535,65535,65535,65535,52
26,4.220634921,0,0,0,0,0,0,0,0,14,32768,65521,65535,65535,65535,65535,65535,65535,65535,65535,54
27,4.407936508,0,0,0,0,0,0,0,0,10,32768,65525,65535,65535,65535,65535,65535,65535,65535,65535,56
28,4.688888889,0,0,0,0,0,0,0,0,6,32768,65529,65535,65535,65535,65535,65535,65535,65535,65535,60
29,4.995840782,0,0,0,0,0,0,0,0,3,32768,65532,65535,65535,65535,65535,65535,65535,65535,65535,61
30,5.545162186,0,0,0,0,0,0,0,0,1,32768,65534,65535,65535,65535,65535,65535,65535,65535,65535,62
31,6,0,0,0,0,0,0,0,0,0,32768,65535,65535,65535,65535,65535,65535,65535,65535,65535,63
