level,I0,h=-9,h=-8,h=-7,h=-6,h=-5,h=-4,h=-3,h=-2,h=-1,h=0,h=1,h=2,h=3,h=4,h=5,h=6,h=7,h=8,h=9
0,0.1,9296,11009,12964,15170,17625,20318,23222,26300,29502,32768,36033,39235,42313,45217,47910,50365,52571,54526,56239
1,0.193650794,1948,2829,4084,5844,8260,11482,15618,20675,26500,32768,39035,44860,49917,54053,57275,59691,61451,62706,63587
2,0.287301587,370,654,1153,2021,3506,5980,9921,15770,23604,32768,41931,49765,55614,59555,62029,63514,64382,64881,65165
3,0.380952381,69,147,315,671,1421,2970,6050,11724,20855,32768,44680,53811,59485,62565,64114,64864,65220,65388,65466
4,0.500002951,8,22,60,162,439,1179,3108,7812,17625,32768,47910,57723,62427,64356,65096,65373,65475,65513,65527
5,0.568253968,2,7,23,72,222,688,2097,6120,15923,32768,49612,59415,63438,64847,65313,65463,65512,65528,65533
6,0.661904762,0,2,6,23,87,327,1212,4334,13774,32768,51761,61201,64323,65208,65448,65512,65529,65533,65535
7,0.783338374,0,0,1,5,26,124,591,2736,11317,32768,54218,62799,64944,65411,65509,65530,65534,65535,65535
8,0.849206349,0,0,0,2,13,73,399,2123,10136,32768,55399,63412,65136,65462,65522,65533,65535,65535,65535
9,0.942857143,0,0,0,1,5,35,228,1475,8633,32768,56902,64060,65307,65500,65530,65534,65535,65535,65535
10,1.036507937,0,0,0,0,2,16,130,1021,7323,32768,58212,64514,65405,65519,65533,65535,65535,65535,65535
11,1.066673797,0,0,0,0,2,13,109,907,6940,32768,58595,64628,65426,65522,65533,65535,65535,65535,65535
12,1.13015873,0,0,0,0,1,8,74,705,6191,32768,59344,64830,65461,65527,65534,65535,65535,65535,65535
13,1.223809524,0,0,0,0,0,4,42,487,5217,32768,60318,65048,65493,65531,65535,65535,65535,65535,65535
14,1.317460318,0,0,0,0,0,2,24,335,4386,32768,61149,65200,65511,65533,65535,65535,65535,65535,65535
15,1.350032712,0,0,0,0,0,1,20,295,4127,32768,61408,65240,65515,65534,65535,65535,65535,65535,65535
16,1.411111111,0,0,0,0,0,1,14,231,3679,32768,61856,65304,65521,65534,65535,65535,65535,65535,65535
17,1.504761905,0,0,0,0,0,0,8,159,3080,32768,62455,65376,65527,65535,65535,65535,65535,65535,65535
18,1.598412698,0,0,0,0,0,0,4,109,2575,32768,62960,65426,65531,65535,65535,65535,65535,65535,65535
19,1.633391626,0,0,0,0,0,0,4,95,2407,32768,63128,65440,65531,65535,65535,65535,65535,65535,65535
20,1.692063492,0,0,0,0,0,0,3,75,2149,32768,63386,65460,65532,65535,65535,65535,65535,65535,65535
21,1.785714286,0,0,0,0,0,0,1,52,1792,32768,63743,65483,65534,65535,65535,65535,65535,65535,65535
22,1.879365079,0,0,0,0,0,0,1,36,1493,32768,64042,65499,65534,65535,65535,65535,65535,65535,65535
23,1.916643916,0,0,0,0,0,0,1,31,1388,32768,64147,65504,65534,65535,65535,65535,65535,65535,65535
24,1.973015873,0,0,0,0,0,0,0,24,1243,32768,64292,65511,65535,65535,65535,65535,65535,65535,65535
25,2.066666667,0,0,0,0,0,0,0,17,1034,32768,64501,65518,65535,65535,65535,65535,65535,65535,65535
26,2.16031746,0,0,0,0,0,0,0,12,860,32768,64675,65523,65535,65535,65535,65535,65535,65535,65535
27,2.199896206,0,0,0,0,0,0,0,10,795,32768,64740,65525,65535,65535,65535,65535,65535,65535,65535
28,2.253968254,0,0,0,0,0,0,0,8,714,32768,64821,65527,65535,65535,65535,65535,65535,65535,65535
29,2.347619048,0,0,0,0,0,0,0,5,593,32768,64942,65530,65535,65535,65535,65535,65535,65535,65535
30,2.441269841,0,0,0,0,0,0,0,4,493,32768,65042,65531,65535,65535,65535,65535,65535,65535,65535
31,2.483306965,0,0,0,0,0,0,0,3,453,32768,65082,65532,65535,65535,65535,65535,65535,65535,65535
32,2.534920635,0,0,0,0,0,0,0,3,409,32768,65126,65532,65535,65535,65535,65535,65535,65535,65535
